df_stat,crit_value_1pct,crit_value_5pct,crit_value_10pct,half_life,time_resolution,start_date,end_date,length
-2.5920508412094083,-3.43,-2.86,-2.57,96.93395270134909,900,2017-09-20,2017-10-06,-16
-1.469446206564503,-3.75,-3,-2.63,3.829412596368338,86400,2017-09-09,2017-09-30,-21
-2.620005494281904,-3.43,-2.86,-2.57,160.8411974993355,900,2017-07-13,2017-08-16,-34
-2.9443512010869997,-3.43,-2.86,-2.57,68.87112333821271,1800,2017-08-29,2017-09-27,-29
-1.5581491581202034,-3.43,-2.86,-2.57,80.08580235856736,7200,2017-01-01,2017-05-09,-128
-2.0729431046087994,-3.51,-2.89,-2.58,6.840330236555809,86400,2017-05-11,2017-07-20,-70
-1.8165361522905579,-3.75,-3,-2.63,1.9407064049676033,86400,2017-06-05,2017-06-16,-11
-2.775100403958135,-3.43,-2.86,-2.57,67.95463539854467,7200,2017-03-09,2017-06-10,-93
-2.5444973408251093,-3.46,-2.88,-2.57,8.498311827925697,14400,2017-08-26,2017-09-14,-19
-2.4535686925580436,-3.43,-2.86,-2.57,606.9226954149595,1800,2017-02-03,2017-09-26,-235
-2.661351126079568,-3.43,-2.86,-2.57,60.93689157418665,7200,2017-04-12,2017-06-23,-72
-2.843928905088026,-3.43,-2.86,-2.57,425.43099291375296,900,2017-04-19,2017-08-04,-107
-1.9725420413587602,-3.43,-2.86,-2.57,111.0014091356269,7200,2017-01-01,2017-04-09,-98
-2.0463888502953975,-3.43,-2.86,-2.57,208.62557976944862,7200,2017-01-09,2017-09-07,-241
-3.0424751868652913,-3.43,-2.86,-2.57,1216.3876300239115,300,2017-01-30,2017-04-11,-71
-2.3905222594648565,-3.43,-2.86,-2.57,514.8494657840429,900,2017-02-23,2017-04-19,-55
-2.370602769415254,-3.43,-2.86,-2.57,43.77824678462347,14400,2017-01-22,2017-05-29,-127
-3.763655203235839,-3.43,-2.86,-2.57,1269.1152648883358,300,2017-01-20,2017-06-07,-138
-2.257226226585383,-3.43,-2.86,-2.57,61.471902388948635,7200,2017-07-24,2017-09-25,-63
-3.0409203889926264,-3.43,-2.86,-2.57,122.49363356702104,1800,2017-03-17,2017-05-12,-56
-2.4084625917066833,-3.43,-2.86,-2.57,59.26279405719327,7200,2017-07-23,2017-10-05,-74
-1.7694873940838107,-3.58,-2.93,-2.6,5.914765506412384,86400,2017-08-04,2017-09-14,-41
-2.4175550164198305,-3.43,-2.86,-2.57,40.13953611760593,900,2017-06-26,2017-07-04,-8
-2.3164510915178624,-3.43,-2.86,-2.57,93.3382499961518,7200,2017-03-05,2017-05-17,-73
-2.293535582183801,-3.43,-2.86,-2.57,-0.4766885184467786,1800,2017-01-22,2017-03-07,-44
-2.2954324990681654,-3.46,-2.88,-2.57,12.063583709751029,86400,2017-03-05,2017-07-17,-134
-1.658821777821983,-3.58,-2.93,-2.6,3.8601070964473188,86400,2017-09-09,2017-10-06,-27
-2.345630218584961,-3.44,-2.87,-2.57,29.394627139326438,14400,2017-05-18,2017-07-14,-57
-3.5591167225632523,-3.43,-2.86,-2.57,1573.073831300312,300,2017-01-28,2017-06-19,-142
-1.9835209881079898,-3.43,-2.86,-2.57,228.62752528523615,7200,2017-06-18,2017-08-20,-63
-2.3251662978883054,-3.43,-2.86,-2.57,39.213297072738754,1800,2017-09-17,2017-09-29,-12
-1.9967841293198434,-3.46,-2.88,-2.57,8.698758195489456,86400,2017-03-02,2017-06-10,-100
