time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
7200,USDT,eg,-1.7000000000000002,12,48d 0H 0M 0S,32d 0H 0M 0S,raw,fixed,396,scaled,2,2.1500000000000004,0.6000000000000001,5.1,FALSE,1.1,scaled,1.2,0.6972213476761031
900,BTC,distance,-2.3,26,28d 0H 0M 0S,45d 0H 0M 0S,log,rolling,2688,scaled,3,2.2,0.7000000000000001,5.2,FALSE,1.6,scaled,1.4,0.697097367212388
900,BTC,eg,-1.35,14,43d 0H 0M 0S,11d 0H 0M 0S,raw,rolling,3072,discrete,2,2.05,0.15000000000000002,6.65,TRUE,0.8,weighted,1.55,0.6966784698078802
14400,USDT,eg,-1.45,6,15d 0H 0M 0S,35d 0H 0M 0S,log,rolling,30,scaled,4,1.2,0.2,4.15,FALSE,0.8,scaled,1.35,0.6963983707383734
7200,BTC,distance,-3.2,16,41d 0H 0M 0S,14d 0H 0M 0S,raw,rolling,336,discrete,3,2.2,0.30000000000000004,6.4,FALSE,0.8,scaled,1.1,0.6955173468725393
900,BTC,eg,-1.3,14,34d 0H 0M 0S,55d 0H 0M 0S,raw,rolling,3264,discrete,4,2.6,0.2,5.7,TRUE,1.3,scaled,1.65,0.6951079432277132
7200,BTC,distance,-1.3,28,15d 0H 0M 0S,22d 0H 0M 0S,raw,fixed,180,discrete,4,1.7000000000000002,0.55,5.550000000000001,TRUE,1,weighted,1.35,0.6941215504513447
14400,BTC,distance,-1.55,30,13d 0H 0M 0S,52d 0H 0M 0S,log,rolling,78,scaled,4,1.35,0.65,3.6,FALSE,0.8500000000000001,equal,1.45,0.6937701140176333
7200,USDT,eg,-2.75,6,25d 0H 0M 0S,13d 0H 0M 0S,raw,rolling,300,scaled,4,2.4000000000000004,0.9,3.25,FALSE,0.2,equal,1.85,0.6937071656488596
86400,USDT,eg,-3.85,22,44d 0H 0M 0S,19d 0H 0M 0S,log,rolling,44,discrete,2,1.85,0.1,6.9,TRUE,0.4,weighted,1,0.6930504069875244
7200,BTC,distance,-3.45,10,21d 0H 0M 0S,43d 0H 0M 0S,raw,fixed,252,scaled,3,2.55,0.9,6.95,FALSE,1.4500000000000002,weighted,1.9500000000000002,0.6925527176161272
14400,USDT,distance,-3.35,30,19d 0H 0M 0S,59d 0H 0M 0S,log,fixed,114,scaled,2,1.1,1,6.85,TRUE,1.9500000000000002,scaled,1.2,0.692546376551694
300,BTC,distance,-3.8000000000000003,28,58d 0H 0M 0S,10d 0H 0M 0S,raw,rolling,9792,discrete,2,2.05,0.15000000000000002,5.9,TRUE,0.55,weighted,1.9500000000000002,0.6923491803323646
1800,BTC,eg,-3.75,16,18d 0H 0M 0S,38d 0H 0M 0S,log,rolling,576,discrete,3,1.9,0.4,4.1,FALSE,0,equal,1.8,0.6918789985670398
14400,BTC,distance,-3.6,30,39d 0H 0M 0S,37d 0H 0M 0S,log,fixed,228,scaled,4,1.15,0.8500000000000001,7,FALSE,0.5,equal,1.85,0.6914137662275802
300,USDT,eg,-1.3,4,51d 0H 0M 0S,58d 0H 0M 0S,raw,fixed,8352,discrete,4,1.9,0.45,5.95,FALSE,0.25,weighted,1.45,0.691149741335835
7200,USDT,eg,-1.85,10,14d 0H 0M 0S,53d 0H 0M 0S,log,fixed,168,discrete,4,2.2,0.25,5.85,TRUE,1.25,equal,1.9,0.691086965870875
86400,USDT,eg,-3.7,22,52d 0H 0M 0S,45d 0H 0M 0S,raw,fixed,19,scaled,4,2,0.9,3.75,FALSE,1.4500000000000002,scaled,1.55,0.6910614280263507
