time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
86400,20d 0H 0M 0S,17d 0H 0M 0S,USDT,-1.38,7,3.94,discrete,raw,0.982547119138933
1800,23d 0H 0M 0S,50d 0H 0M 0S,USDT,-3.23,1104,6.54,discrete,raw,0.9822727221579135
86400,58d 0H 0M 0S,25d 0H 0M 0S,BTC,-2.31,57,5.85,discrete,log,0.9817306534168896
1800,14d 0H 0M 0S,55d 0H 0M 0S,USDT,-1.25,672,3.29,discrete,raw,0.9778862064171097
7200,17d 0H 0M 0S,30d 0H 0M 0S,BTC,-3.47,204,3.8,discrete,log,0.9764172994295497
7200,43d 0H 0M 0S,6d 0H 0M 0S,USDT,-2.1100000000000003,144,5.99,discrete,log,0.9744395490971821
7200,55d 0H 0M 0S,37d 0H 0M 0S,USDT,-2.44,444,3.27,discrete,raw,0.9705441155263207
14400,51d 0H 0M 0S,41d 0H 0M 0S,USDT,-2.02,270,6.63,discrete,log,0.9676945392336306
900,41d 0H 0M 0S,43d 0H 0M 0S,USDT,-1.19,3840,4.4399999999999995,discrete,log,0.9667179696736223
7200,27d 0H 0M 0S,53d 0H 0M 0S,USDT,-3.43,324,5.42,scaled,raw,0.9665230271922624
86400,17d 0H 0M 0S,40d 0H 0M 0S,USDT,-2.5,17,3.92,scaled,log,0.9660954016915557
1800,38d 0H 0M 0S,32d 0H 0M 0S,USDT,-1.74,1488,4.49,discrete,raw,0.9651504911575238
86400,37d 0H 0M 0S,58d 0H 0M 0S,BTC,-1.35,37,3.34,discrete,log,0.9637774745152375
86400,20d 0H 0M 0S,42d 0H 0M 0S,USDT,-3.95,19,3.46,scaled,raw,0.9628113359424879
900,43d 0H 0M 0S,56d 0H 0M 0S,USDT,-1.31,4128,5.109999999999999,discrete,raw,0.9624249827531558
86400,28d 0H 0M 0S,54d 0H 0M 0S,BTC,-3.5,28,6.25,discrete,raw,0.9621784966611273
7200,17d 0H 0M 0S,30d 0H 0M 0S,BTC,-2.05,36,6.6,discrete,log,0.9615195466001423
900,5d 0H 0M 0S,54d 0H 0M 0S,USDT,-1.06,480,4.17,scaled,log,0.9592212313913456
14400,58d 0H 0M 0S,9d 0H 0M 0S,USDT,-2.09,126,4.67,discrete,raw,0.9587232431667769
86400,41d 0H 0M 0S,27d 0H 0M 0S,USDT,-1.96,41,5.91,discrete,raw,0.9582014802593477
14400,6d 0H 0M 0S,20d 0H 0M 0S,BTC,-3.68,36,4.47,discrete,raw,0.9578437202182405
7200,45d 0H 0M 0S,33d 0H 0M 0S,BTC,-2.98,516,4.75,discrete,raw,0.9577273115087002
7200,21d 0H 0M 0S,52d 0H 0M 0S,USDT,-2.69,24,5.13,discrete,raw,0.9555480550423051
900,43d 0H 0M 0S,55d 0H 0M 0S,USDT,-1.26,2688,6.109999999999999,scaled,raw,0.9549070092190033
